Alloy composition,W,B,Frequency,R,Testing temperature,ΔK (MPa m0.5),da/dN (m/cylces)
Fe30Mn10Cr10Co,50.8,10,1,0.1,298,15.19690592,2.46E-08
Fe30Mn10Cr10Co,50.8,10,1,0.1,298,16.49852227,3.01E-08
Fe30Mn10Cr10Co,50.8,10,1,0.1,298,17.868644,3.37E-08
Fe30Mn10Cr10Co,50.8,10,1,0.1,298,19.39804773,4.32E-08
Fe30Mn10Cr10Co,50.8,10,1,0.1,298,20.8989516,6.13E-08
Fe30Mn10Cr10Co,50.8,10,1,0.1,298,22.406854,7.67E-08
Fe30Mn10Cr10Co,50.8,10,1,0.1,298,23.84427977,9.61E-08
Fe30Mn10Cr10Co,50.8,10,1,0.1,298,25.24650371,0.000000125
Fe30Mn10Cr10Co,50.8,10,1,0.1,298,26.93144238,0.000000166
Fe30Mn10Cr10Co,50.8,10,1,0.1,298,28.80337425,0.000000203
Fe30Mn10Cr10Co,50.8,10,1,0.1,298,30.34408953,0.000000274
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,15.89946,1.40E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,16.40389,1.40E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,16.60214,1.50E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,16.80278,1.50E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,17.00585,1.60E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,17.33588,1.70E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,17.71482,1.80E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,18.01527,1.90E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,18.18924,2.10E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,18.45334,2.40E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,18.67636,2.60E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,18.94754,2.80E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,19.17653,2.90E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,19.45497,3.00E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,19.69009,3.30E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,20.02404,3.40E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,20.16889,3.50E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,20.41264,3.80E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,20.75884,4.00E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,21.00972,4.40E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,21.1617,4.70E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,21.52061,5.10E-08
Fe30Mn10Cr10Co,50.8,11,10,0.1,373,21.7807,5.60E-08
